[2.982484, 1.577152, 1.41093];26.443;26.449;26.446
[2.982484, 1.577152, 1.41093];26.449;26.242;26.3455
[2.982484, 1.577152, 1.41093];26.872;26.596;26.734
[2.982484, 1.577152, 1.41093];26.242;26.764;26.503
[2.982484, 1.577152, 1.41093];26.432;26.401;26.4165
[2.982484, 1.577152, 1.41093];26.596;26.532;26.564
[2.982484, 1.577152, 1.41093];26.591;26.325;26.458
[2.982484, 1.577152, 1.41093];26.764;26.223;26.493499999999997
[2.982484, 1.577152, 1.41093];26.588;26.148;26.368000000000002
[2.982484, 1.577152, 1.41093];26.401;26.933;26.667
